Key,Value
BPM,60.0000
StartTime,202.6151
scoreCounter,20.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player35OnsetTimes,204.2165,206.3061,207.4598,208.3242,209.2261,210.2805,211.4488,212.6137,213.7129,214.7291,215.6534,216.6119,217.6370,218.7025,219.7517,220.7535,221.7341,222.7166,223.7329,224.7725
Player36OnsetTimes,203.9371,206.0426,207.4136,208.4663,209.4120,210.3625,211.4009,212.5015,213.6286,214.7291,215.7334,216.6916,217.6688,218.6695,219.7043,220.7383,221.7508,222.7538,223.7491,224.7571
Player37OnsetTimes,204.4034,205.9787,207.0090,208.1074,209.3334,210.5480,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
Player38OnsetTimes,204.2948,205.8658,206.9616,208.1374,209.4120,210.6098,211.6591,212.5976,213.5361,214.5550,215.6234,216.7065,217.7537,218.7525,219.7196,220.6918,221.7029,222.7320,223.7647,224.7881
Player39OnsetTimes,204.0405,206.1396,207.4286,208.4039,209.3334,210.3321,211.4173,212.5484,213.6592,214.7135,215.6850,216.6597,217.6688,218.7025,219.7356,220.7383,221.7341,222.7320,223.7491,224.7725
Player40OnsetTimes,203.8910,205.9943,207.3985,208.4889,209.4425,210.3779,211.3839,212.4863,213.6126,214.7135,215.7166,216.6916,217.6688,218.6695,219.7043,220.7383,221.7669,222.7685,223.7647,224.7725
Player41OnsetTimes,204.2630,205.8357,206.9616,208.1702,209.4425,210.6098,211.6422,212.5814,213.5361,214.5717,215.6384,216.7225,217.7702,218.7525,219.7043,220.6763,221.7029,222.7538,223.7963,224.8029
Player42OnsetTimes,204.1850,206.2749,207.4598,208.3410,209.2417,210.2805,211.4324,212.5976,213.6902,214.7135,215.6687,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player43OnsetTimes,204.4649,206.0426,207.0238,208.0753,209.3036,210.5327,211.6422,212.6281,213.5824,214.5881,215.6234,216.6916,217.7384,218.7354,219.7196,220.7070,221.7193,222.7538,223.7798,224.7881
Player44OnsetTimes,205.6930,206.2097,207.2649,208.1850,209.2100,210.3474,211.5142,212.6137,213.6445,214.6354,215.6085,216.6282,217.6688,218.7025,219.7196,220.7232,221.7193,222.7166,223.7329,224.7571
Player45OnsetTimes,204.0888,206.1779,207.4286,208.3887,209.3185,210.3321,211.4324,212.5646,213.6592,214.7135,215.6850,216.6597,217.6688,218.7025,219.7356,220.7383,221.7341,222.7320,223.7491,224.7725
Player46OnsetTimes,203.9218,206.0266,207.3985,208.4663,209.4120,210.3625,211.4009,212.5015,213.6286,214.7291,215.7334,216.6916,217.6688,218.6695,219.7043,220.7383,221.7669,222.7685,223.7647,224.7725
Player47OnsetTimes,204.8622,205.9137,207.2963,208.4354,209.4582,210.4243,211.4173,212.4706,213.5670,214.6823,215.7166,216.7065,217.6917,218.6858,219.6887,220.7070,221.7341,222.7538,223.7647,224.7725
Player48OnsetTimes,204.0731,206.1779,207.4443,208.4039,209.3185,210.3097,211.4173,212.5646,213.6744,214.7291,215.6850,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player49OnsetTimes,203.8124,205.9137,207.3671,208.5213,209.5041,210.4243,211.4009,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player50OnsetTimes,204.0731,206.1779,207.4443,208.4039,209.3185,210.3097,211.4173,212.5646,213.6744,214.7291,215.6850,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player51OnsetTimes,203.7941,205.8807,207.3510,208.5213,209.5041,210.4243,211.4009,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player52OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player53OnsetTimes,203.7325,205.8357,207.3510,208.5533,209.5498,210.4400,211.3839,212.4397,213.5824,214.7291,215.7663,216.7225,217.6688,218.6537,219.6887,220.7383,221.7669,222.7685,223.7647,224.7725
Player54OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player55OnsetTimes,204.8322,205.8807,207.2963,208.4663,209.4887,210.4400,211.4173,212.4555,213.5510,214.6662,215.7166,216.7225,217.7068,218.6858,219.6887,220.7070,221.7341,222.7538,223.7647,224.7725
Player56OnsetTimes,204.4034,205.9787,207.0090,208.1074,209.3334,210.5480,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
Player57OnsetTimes,203.8438,205.9466,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player58OnsetTimes,203.7626,205.8508,207.3510,208.5533,209.5498,210.4400,211.3673,212.4239,213.5670,214.7135,215.7663,216.7392,217.6917,218.6695,219.6887,220.7232,221.7508,222.7685,223.7647,224.7725
Player59OnsetTimes,204.3879,205.9627,206.9931,208.1074,209.3487,210.5637,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
Player60OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player61OnsetTimes,203.8910,205.9943,207.3985,208.4889,209.4425,210.3779,211.3839,212.4863,213.6126,214.7135,215.7166,216.6916,217.6688,218.6695,219.7043,220.7383,221.7669,222.7685,223.7647,224.7725
Player62OnsetTimes,203.9931,206.0927,207.4136,208.4354,209.3810,210.3474,211.4009,212.5162,213.6445,214.7291,215.7166,216.6750,217.6533,218.6695,219.7043,220.7383,221.7508,222.7538,223.7491,224.7571
Player63OnsetTimes,204.3578,205.9297,206.9931,208.1226,209.3653,210.5637,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
Player64OnsetTimes,204.3421,205.9137,206.9779,208.1226,209.3810,210.5798,211.6422,212.5976,213.5510,214.5717,215.6234,216.7065,217.7537,218.7525,219.7196,220.6918,221.7029,222.7320,223.7647,224.7881
Player65OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player66OnsetTimes,204.3578,205.9297,206.9931,208.1226,209.3653,210.5637,211.6422,212.6137,213.5670,214.5881,215.6234,216.6916,217.7384,218.7525,219.7356,220.7070,221.7029,222.7320,223.7647,224.7881
Player67OnsetTimes,203.9931,206.0927,207.4136,208.4354,209.3810,210.3474,211.4009,212.5162,213.6445,214.7291,215.7166,216.6750,217.6533,218.6695,219.7043,220.7383,221.7508,222.7538,223.7491,224.7571
Player68OnsetTimes,204.9235,205.9787,207.2649,208.3574,209.3965,210.4243,211.4661,212.5162,213.5824,214.6510,215.6687,216.6750,217.6917,218.7025,219.7043,220.7070,221.7193,222.7320,223.7491,224.7725
